text,label
തരവ കരഞഞത പരഞഞത എലല പയകകഴഞഞൽ പനന മരണ കറയസവഭവകമലല immun ഉളളവർ രകഷപട ഒളചചരനന ഇലലതതവർ പറതതറങങയൽ സകഷചചലലങകൽ കടട പരകത ശദധകലശ നടതതകയണവട surviv the fit ഓർകകക,Fake
അപപള ഗററസ അനതണ ഫകക tedros who എനനവർകക ഇലലനന,Fake
ഒററ ഒനനന mask ഇലല ldf,original
എലല ശരയകക എനന പറഞഞപപ ഇതരയ പരതകഷചചലല,original
it fking conspiraci china have put bio war,Fake
തരവതരകള എനന ഇലലതകക എലലതതന കമയണസററ പർടട ആകനനണട അതകണട കരള എതരയ നശതതൽ എതത ഉറപപ,original
ഉണടകകയവർകക ഇലലതകകൻ മറനട പരയസ,Fake
ചനയട സമപൾ വടകകടട മതരമണത അവനമരട കളചചൽ ഇതല മനതയ സധന ഇറകക അവർ കളകക സവനതമയ സരയൻ ഉണടകകയ,Fake
ഇതതവണ ഇവററള ജയപപചച വപലവസഗങങളകക അഭവദയങങളനനനയയളളമലയള ചററകള പഠകകണ,original
റഷയ ബജഗ ഉതതര കറയ ഇവടങങളൽ അമരകകയകക എതതപപടൽ ദഷകര ബജങങൽ കടകകനനതന കടതത നയനതരണമണട,Fake
suhurthey pazhaya video ippo enthinu view veno cash undakkanano athyavashyamayi aanalley kashttam pura kathumbol thann venam,Fake
good news sir thank,Fake
chainay elladakuka,Fake
ഭയങകര ഒരയര ചടലയകഷകള,original
,original
ചനസ മതര തനനയണ ഇതനറ പനനൽ ഗററസനറരഹസയ പങക ഉണട എനന അറയലലപകഷ ഒനന അറയ വർദധചച വരനന ജനസഖയയൽ അയൾകകഉൽകകണഠ ഉണടയരനന,Fake
മധയമങങൾ മധയമ ധർമമ മറകകനന,Fake
inne naatil janang verukkunna bootham,original
nalla background score anu avarku koduthirikkunnath thandhayillatharathint gunam kananund asianet nayint makkal,Fake
എനറമകനറകലയണഅനന ദവസനടതതനനതരവതരയൽപങകടകകൻനങങളലലവരകടമപസമതവരണമനനഅപകഷകകനന എനന സവനത,original
katta wait ayirunnu,original
keralathint ippoyath viru pinarayi sarkkaran,original
thi chines biolog weapon,Fake
jangal vidik,original
ഇവൾകക ഒനന തരവതര എനന അറയലല അയയപപസവമ കണനന വർഗ സസകര എനത ഇവർ കടടടടലല,original
ആരഗയ എനതണ എനന അറയതത ഇതനകക ആരട മനതര ആകകയത,original
ഊളകമമകള വസകകനന കരള,original
budhi illatha kazuthak aanu rajythint thalapathathkond thann rajym ingan aayath,original
edo thanikku cinemayil abhinayichoode adhinhu manyadha undu,Fake
serikkum andam,original
ഷജഹൻ പണട മണടനണ എലലവർകക അറയ അവനഴക ബദധ വവകവ ഇലലതതത കററമലല പകഷ അലങകരമയ കണടനടകകരത,Fake
ബദധ ഇളവർ ഇനയ പർടട എനന പറഞഞ നടകകലല,original
ayyo ithipol ano marunadan arinjathu ithu annuthann arinjathum paranjathum anallo,Fake
,Fake
nallaavatharanam,original
ആരവ അറവല സരയയപല രകഷകകൻ വരക,Fake
പശവന കണനന വർഗഗതതൽ നനന ഇതൽ കടതൽ ഒനന പരദശകരത,Fake
തങകയ,Fake
മരണതതനറ വയപരകൾ,original
കതതരകകകയയരനന quotഗ quotതരവതര കകലതതനയ,original
തരവതര എനന കലയ കടതതലല കടട അലലങകൽ ചവടട നടക അതര,original
കവഡനറ തടകക കലതത നടനനരനന അഹമമദബദൽ നമസത ടരമപ ഗജറതതൽ കവഡ രഗകളൽ ശതമനതതന മകളൽ നനനയരനന അതണ ഇനന കവഡൽ നമപർ അമരകക ഇനതയകഭ മളയൽ കറചച മസക ധരചചരനന പറയലയരനന എനന മതര,Fake
vaccin scientist അവരട ഉററവര എടതത blood clott മരകകടട അപപ തരതത പറയ വയസസളള എനറ മലയള സഹതത കഴഞഞ clot മരചച,Fake
തരവതര കളചച സമഹയ അകല പലചചണ നനനതനന പർടട വശദകരണ നൽക അതണട പടകകണട,original
urappaytttum anganeyaanu matt rajyangal avarud varuthiku varuthuka athinu vendi ayrunnu ithinulla marunn chodikunnavilakku mattu rajyang vangum,Fake
oru sahakarana thiruvathira moodi aayaalo,original
failur veena georg whi dont you can look other than thi job,original
,original
കറണ തരവതര ഇതനറ വരകൾ കടട ചരചച ചതത,original
പരവസ നടടൽ എതതയ പറതത പകരത എനതല,original
marxism enthan aryata kure mangamar,original
സമഹക അകല പലചചണലല കളകകനനത,original
തരവതരകള നലലര കലയണ ബബയട ആസവദന ഒനന കണണടത തനന,original
ഇയൾ ഒപപചച പറയതത എനന കവട തബലഗ കവഡ മസല എനതകക പറഞഞടണട അനന ചനയൽ മതര റപപർടട ചയത സമയതത അവര അറയത പരതനധ മർകസൽ കടയത എലല അറസറ ഗവരമനറ സമമതചച ഇപപഴ എനനടട തലന ചയയനന പരകത പരപട ശരയണനന പറയനന,Fake
സവനത അനഭവ ഏററവ വലയ രണട വകസൻ വചച അനഭവകകനന ബദധമടട അനഭവകകനനവരണ ഞങൾശരകക പറഞൽ പകത ജവൻ മതരമയ ചരങങ എനന തനന പറയ,Fake
സതയ എനനയല പറതത ഇപപ തനന തളള marikkallay,Fake
adutha pravashyavum pinarayi jayikkan ayyappaswami,original
marakazhuthak,original
ഗൾഫൽനന വരനന പരവസകള ദവസ എങകല തറങകൽ അടകകണ അവരണ പരശനകകർ,original
കരളതതല ശദധകനനതനലലത,Fake
പർടട പരപട കഴയ അടചചപടട,original
pwoli,original
രകത സകഷ,original
ഇവരട ഒനന തലയൽ ഒനനമലല,original
evanmar orikalum sathyam parayilla live record chaythu kondirunnappol utharam muttipoi,Fake
appo paranjuvarunnathu nammadea sariram soyam pradhirodhasheshi kayvarikkum ennu nam karuthano,Fake
പരവസകൾ കവറനറൻ കടകകണ പറതത എലലർകക കവഡ അവർകക വരതരകകടട എനന വചചണ,original
ചനയൽ നനനലല വറസ വനനത അപപൾ അവര തനന തടർച നൽകകടട,Fake
ഞങങളണ ഭരകകനനത ഞങങൾ എനത ചയയ പനനലല,original
ഇനതയൻ ഗവണമനറ പരഖയപചച ഹമയപത മഡസൻ arsen alba എലലവര കഴകക prevent also ഇമമയണററ booster,Fake
brainwash popul control megalomaniac parti head dictat thi china role model for the cpm kerala vijayan,Fake
avdeyum oru quotji quot anallo presnakaari,Fake
parampayra vaiyanmar enthilanu praveenyam nediyittullathu evar ashtanga hrudayamo sahasra yogamo padichittundo vamozhi ayi kittunna arivu kondanu chikilsikkunnathu allopathikkar njeliyenda pazhya chila marunnuk allath onnum offer cheyanilla evarud chikilsa rogikal kollunnu ayurveda herbalsum manjal sevayum njan covidin tholpichathu,Fake
komadikku പററയ പററ,original
പകഷകൾ മഗങങൾ മനഷയർക ഗണങങൾ മതര തരനന ദവതതന വലലവള കനന,Fake
വളർതത കറണ വറസ ഉടമസഥൻ വളചചൽ കടടൽ കയറ,Fake
pravasikal poi ooooooonjala,original
russiayil indeukrint karythilm avr hide cheyth vechekuaa,Fake
hmm sathyamavatt,Fake
എലല പരഹസന മതരപറയക യളള പരവർതതയൽ ഇലല സവയ നനനവലല നടടകര നനനകകനന കളള,original
പണഭഗവന വണട അമപല പണയണ,original
dirti game china,Fake
naamal akathu kerikko paarti purathunduuuuvottu cheytha potanmar,original
,original
america onnum orikkalum thakarilla avar athu control chaiyum athanallo charithram,Fake
അപപള പകവല തടങങ മരകകലലലല,Fake
യടയ light പരപട കളയകകയവര,original
ഭരനത എനനലലത എനത പറയ,original
ബദദസ ശരകക,Fake
എലലവര നയനതരചചൽ അവനവന കളള ഇലലങകൽ ജനസഖയ കറയ,original
രകതസകഷയ കടടയതൻറ തരവതര ഉളപപ,original
എതര മനഷയരണ ദവമ,Fake
super coordin,original
പഴചലല ഉണടലല ആശന അടപപല പവങങകകണ പററയ,original
കമഡ ചർചച,Fake
പരതപകഷതതരകകമപൾ ഇങങന അലറയന എനതര രഷടരയ അധപതന ആണത അധകരമണടനന കരത എനത ചയയമനനണ ഉമമൻചണടയ കൺഗരസസ കരതനനണടങകൽ കയയ കടട ഇരകകലല സപഎ കരള കതത വലത പർടട അലല,original
endha nalla parti,original
china undakithavum coronaya avara marunnum kamdupidichu kanum purath vidilla,Fake
excel talk,Fake
അനക ദവമകകൾ contin പരർതഥചച കണടരകകനന മഹമരയൽ നനന നമമ വടവകക വലയ ഉണർവ രജയ മഴവൻ ഉണടക കർതതവനറ വരവന മൻപ തനകകളളവര വണട പറയനന ഒരകക എടകകനന ഒരവസര ആണത സകലത നനമകകയ ചയയനന പനനട നമകക മനസസലക കഷടതയൽ ആയരനനത എനകക ഗണമയ എനന വചനതതൽ പറയനനത ഓർതത കണട നർതതനന,Fake
തരവതരകര mask ധരചച എങകല കളകകമയരനന വലലതത ചയതതതയപയ,original
ആമതത ഒററപപടട സഭവ,original
തൽവഎനത ആവകരള നമപർ,original
ദവതതനറ പരകഷണമലല കറണചനയട പരകഷണമണ കറണദവ,Fake
kalikkarik aarum mask ittittillallo,original
keralathiley viddik viswasikkanamenkil chines presid vannu nerittu parayanamquot fool own keralaquot muzhuvan janangaleyumalla njaanuddheshichchathu thettidharikkaruthu,Fake
prandhan oke anu aadhyam naadu kadathand,Fake
കഴകകടജലലയൽസധകരൻനടതതയതഅവതരപകണ,original
പശചതയ നടകളൽ തർഭല ജനങങൾ മരചച തർനനരകകനന ഇനയളളവർ ഏറയ ആരഗയഇവനമർ സവഭവകമയ മരണനരകക കറയനനത,Fake
enta ponnu bro bhulokha kallanmaranu chinakkar mean avarud chines communist parti bharikkunna govern avidath aalukal nirbhandhichu anubhaavik aakki thanghalud rajyam lokathil thann aakan vendi adhvaanikkukka kai mey marannu adhvanichukkondi errikkukayaanu paavam janagh ethellam njan parayaan karyam oru companyud manpow maathram aayi kuwait koc kku rigmed work cheyyunnu eee peru sinopec ennanu oil amp ga drill compani ethic genuen enthaannu enikku nannayi ariyamchatiyum vanjanayum aanu lokhathodu avar cheythu kondirikkunathu,Fake
ഇതര ഉളപപലലതതര ചങങതയണ പണറയയനന ബദധയപപടട,original
നറകൾ ഭരകകകബൾ ഇതകക നടനനലലങകല അതഭദമളളനള lockdown ആകകടട പവങങളട അനന മടകകശഭ,original
ellarum peruppichu kanikkumbol ninghal sathyam paranju iniyenghilum mohanan vaidyar vittood pl sajan sare avarkku vendhi oru vidio cheyyoo,Fake
same flu still not found how start,Fake
മസക അകല പലകകല തടർനനൽ കറചച സമയതതനളളൽ തനന covid നമമയലല വടടപക mean will disappear for ever and never come back,Fake
അടതത കരസമസന ബതലഹ പടടണമക അണഞഞരങങ പൽകകടടൽ പണറയ ഭജതനയ,original
പതതന എനത ഏതത,original
കയടകകടയൽ എതര ഒമകരൺ നശചചത പഠചചടട വമർശകക,original
avark avasaram koduth avar fail ayaal abamaanich pore asianet,Fake
ath angana kurey,original
ജഹദകൾ ഇനതയയ തകർകക,Fake
true inform,Fake
കടകക പറതത ഇനദര ചനദര കനക സവപന വജയ സവമ നണൾ വഴടട,original
ഇവരട വലലവള സവകരചച അവർജയചചൽ മരനന കചചവട വടടപജയഎമർജൻസ ചകതസ ചയയൻ അലപപതയ അലലതളള മററളള ചകതസകട അഗകരകകക വർഷമമപ കചചവടമണനടനനരനനത ചകതസചചതലലmbb കരണജനങങൾ അതര പടടനമരലലഎനന മധയമങങള വചരചചളok,Fake
pinarayi deivam,original
sir അമരകകയലകക എനനടട നയയർകകന രകഷകക മഹനടടന സവഗത,Fake
തമമൽ തലലനന കൺഗരസസളളപപൾ ഒരകകല ഭരണ അവസനകകലല സഹകകവൻ ദവതതട ശകത നൽകൻ പരർതഥകക സഹചച സഹചചങങന മരണ പകo,original
rail lood akashthood parakkan erikkumbola oru thiruvaathira,original
menteldepress,original
എനത സനദശമണ സമഹതതന നൽകനനത,original
americak ethir nikunna ellarum ekafhipathijalum kallam parayunnavarum alliyoda marunadan mairoli,Fake
ചവപപ danger,Fake
pathram kottichathinulla reveng avun,original
തനന ലകതത നശപപകകൻ വണട ഇറകക വടട എനനടട അടകകകയണ,Fake
full drama,original
ഇലകഷൻ പരഖയപചച പരചരണ തടങങ കഴയനനത ഇതര നണകകട തനനയടടലലലല,Fake
കവഡ വരത അവനവൻ നകകകകണ വനതകൾ നവതതയലലതതണട തളളകയലല സമമളനങങളൽ പങകടതതലലങകൽ ഭഷണപപടതത കണടപക എനത പരടടകൾ പറഞഞ ണണതതൽ കടയൽ ചഗകകൾ അടകക ചവപപണഞഞ ചഗകകളട മനനൽ കറണ അലല അവനറ അപപൻ തററട പനനയ,original
ശരകക വകഭദ വനന തരവതര തനന,original
anubavicho,original
ഉളപപ ഇലലതത സഖകകൾ മനദനമർ,original
പറശലയൽ എലലവര ജഗരതപലകകണ,original
greatallah will help china,Fake
വഡകളമയ ഭരണധകരകള ആരഗയവകപപ പവപപടടവനറ പചചചചടടയൽ കയയടട വരനലലത പനന എനത അറയ ചററകൾക,original
ksu akramatilum ndanum aal,original
ഉറപപണ തരവതര,original
ചനയട വലചച പരതരധകകക ഇനതയയ രഗതത വരണ എനത പടചചരകകനനത ലകഷകണകകന ആളകളട ജവൻ എടകകൻ കരണ കരയവരയ അസഖ കഷടതയ രഗശയയയല പടടണയ ആയവര എലലഓർതതങകല ഇനയങക നമമട പരധനമനതര ഇറങങണ അമരകക ഒനന ശകതപപടതതണ മററ രജയങങള ശകതമയ സതയ പറതത,Fake
ഇവർകക അവസര കടകകണ പളസ അതട ശലയ,Fake
ഉളപപ,original
ഇയൾ പറയനനത എനതണനന ഇയൾകക തനന വലയ ബധയമലല ചനയട വറസ ആയതകണട സഹതരജയങങളൽ പടരനനലല റഷയയട ഉദഹരണവ പറഞഞ ഇപപൾ ഏററവ കടതൽ രഗകൾ ഉളള രജയങങളൽ ഒനന റഷയ ലകതതൽ എലലവരയ സനദർശചച കഴയമപൾ പരതരധശഷ നടയടകകനനർ ജവകക അലലതതവർ പനന പതയ മരണങങൾ ഉണടകലല വകസനഷൻ കണടപടചചലലങകൽ ഇതണ സഭവകകൻ പകനനത പകഷ ഷജൻ പറഞഞത പതളതതൽ ഓടയളകക എനനണ,Fake
href parayeda myranmaresci ennna bodham undavanam,Fake
ini cororona kkurichu orakksharam minddaruthu ahangaarikalaaya manushyarkku athu thanna veaanamcorona nee pokaruthusav earth from deadli human corona pokaruthu plz,Fake
ഉടതണ ഇലലത ലകഷങങൾ റഡൽ സനയ കണചച നടകകനനതന പരകത എനനലല പറയണടത അതകക,Fake
കരളതതൽ പകഷ നശചച വറസസ തടൻഗയടട ഏകദശ കലല ഇപപ കടടചചർ ആയകണടരകകനന മതതതതൽ,Fake
വകസൻ എടതത ചതതൽ സവർഗഗതതൽ എതതമനന ഉണടകകയ തണടകൾ അവകശപപടട,Fake
kunna mela,Fake
തലവ ലവൽ,original
panna naari kumpa covid ennu parayadoo annu nee enthaa paranj thabileeg paranjil ethaanu kaalam karuthi vecha marupadi parayunnee,Fake
നയകകള ഭരണതതൽ കയററയ നമമള പറയണ,original
poda polayadi monea thooooo madar choot,Fake
ഊളകൾ,original
സരമലല എലലയടവ കറണ വനനതന അവസന അവര പടകട കതതരനന,Fake
വളര നനദ,original
thank you,Fake
അൻറ ശരദധയൽ പടടടടലല തരവതരകകളയട കളഞഞ വർഷ കഴഞഞലല ഇവർകക വടട ചയയൻ പററ എനനലചകകമപഴണ വഷമ,original
മറമപൾ ലകതത രജയ ഉളള സററക എലല കടടകയണ,Fake
ഇതരയ വതതകടട പരപട ഇലല എനതവനന സർകകരന ബധവ വവര വഴകക പയടടലലബകക എലലതതന എനന പറഞഞടട മററടതത അലല ഇവനമർ കണചചത വർഷ ഇവര സഹകകണമലല,original
ഇപപൾ കടടയ വർതത കറണയകകൾ പതനമടങങ അപകടകര cpm വറസ എനന who കണടതതയരകകനനപയ ചതതകട കമമകള,original
ചരകകതരകകൻ വയയ,original
നലല ഉപദശങങൾ,original
തരചചയയ ഉണടകകയ വറസ അവർ ഉദദശകകനന രജയ നകക കടതത ശതമന thu ശരയണ,Fake
gentliy nuna parishodhanak loka rashtrangel vidheyamakkooo,Fake
india our monsoon the most effect amp vigor disinfect,Fake
ഇതര പരതയക ഇതണ എലലവർകക മനസസലയ കളളണ എനനലല,original
video paramrshekkapetta pennupellen chodeyam chiyan oru margavumel,Fake
russia yil like ethi,Fake
എടകകൻ കഴവലലതത കടത പവങങള മതര രഷടരയ കകർ,original
ithil dislik adichaa perummm keralatilleyyy communistukaluhnuuu,Fake
ബയളജകകൽ ആയധങങൾ അമരകക തടങങവചച യദധമറ കപപ അടചച അതര തനന,Fake
good chaina,Fake
തരവതര കലരപ ആണനന വചരചചതഅപപൾ ഭരതനടയതന പഷപ മവല സങസ പരഗണകകണ കരള ലജകകനന,original
തളള കളയൻ പററലല കരണ ബകകൽ നലല പലനഗ ഉണടവ,Fake
കറണ ലകഡൺ വകസൻ മതലയവ കടനനതതതത തൻസനയ പലളള രജയങങളപപററ എനതകണടണ വർതതകൾ നലകതതത അവർ കവഡന ഒഴവകകയത എങങനയണ ഇതതര നൽകനനത കററകരമണ,Fake
കപപതതൻ ഉണട കകകൻ,original
ഇങങന പർടട പരപട ഉണടകകയൽ പതയ വകഭദ,original
ഇവർ അറഞഞകണട രജയ ദരഹ ചയത,Fake
ചനസ പരസഡനറ അമരകക ഇനറലജൻസ കണട പടകക അമരകകൻ ഏജൻസയയ വടകയ ചയത അവസന കടമ മയലള പടചച നമമൾ പടകകനനതന മൻപപ പഹയൻ മറനടൻ കളഞഞ,Fake
ഇവർ നടടലലലലല നടടലളളവരടലല നയമനടപടകൾ സവകരകകൻ പററ കടടലളളവര തരഞഞ കണടപടകകമങകൽ വളര കറചച അഗസഖയയളള മവയസററകള തകകയടകകൻ പരയസപപടമ പനന ഇവരകക കടടലലല അവർകക കവഡ വരതരകകനളള വദയയ൦ അവർകകറയ൦ നങങൾ അതകണട കളളണട ആവശയമലല ഏതയല൦ തബലഗനപപലയ൦ തവരവദകളപപലയ൦ തപപതതറ മനപർവവ൦ പരതതൻ നടകകനനലലലല,Fake
നമമട നഞചതതകക അടകകണ പറതത ഇറങങരത കപപ എനനകക പറഞഞ ഇവർകകകക എനത ആകമലല,original
nice,Fake
ലകതതനറ ടരൻഡ അമരകക യലല അവർ ലകതതന കണചച കടതതത,Fake
നങങളണ അവതരകൻ,original
super lyric,original
എലലതതന china കററ പറയനനതൽ അർഥ ഇലല ചനയൽ covid ആദയ വനനത എനനളളത അനന അവർ അടചചടടലല എനനൽ ഇപപഴ india എലലയടതത ആരണ അടചചടടത ആരമലല എലലർകക flight ഉണട തറനനടടൽ economi തകരആക അടചചടടരകകനനത australia new zealand ബകക എലല കണകക,Fake
അടതത കരസമസനquot ബതലഹ പടടണമകഅണഞഞരങങ പൽകകടടൽ പണറയ ഭജതനയ quot,original
കമമകള കറണ അടകകലല,original
മതതപപന ദവയ എലല ശരയകക,original
mask kal well glous annu bhai,Fake
kaarana bhootham,original
appo itu conmunist viru aayirunno paksh itali yil corona poyatengan,Fake
സപഎ ദരനത,original
അലലല ഇവർകക ഒനന കവഡ പടകകലലല,original
മറനടൻ മമപ പറഞഞത വശവസകകനനഇത വശവസകക,Fake
need more dabat relat thi,Fake
kumbamela rajyadroham all tableeq sammelanam mathram ano,Fake
രഷടങങൾ ഇടപപടട ചനയ ഇലലതകകണ ജനങങള നശപപകകനന വറസ ഉണടകകയ രജയതത രഷങങൾ ഒനനയ നശപപകകണ,Fake
evaneyokk vedivachu kollanam,Fake
രണടമതത വകസൻ എടതതതന എനകക എപപള ശവസമടടലണ,Fake
avid orikkalum korona adukkilla koroanay polum oodikkunna varik aayirunnu thiruvathira pattil,original
ചനയൽനനനളളവറസന സഖകകളതരചചറയമയരകക,original
പരതകഷചചരകകവയരനന,original
who respons for increas covid your avoid these type nonsens atheist parti programm,original
well present,Fake
too good percept,Fake
കലയണതതന ദവസ തരവതര വചചൽ പങകടപപകക,original
കമൻറ april social medium കളല post ചയതതണ ഒനന ഇവട ചയയനന എനതന കരണ ഉണടവ കരണമലലത കരയവ നടകകനനലല വറസ ദവസ ജനതക മററ സഭവചച മനഷയനൽ കയറക നനന മനഷയരലകക മഴവന വയപകകക ജനതകമററ വനനതയത കണട പരതവധ ഇലലതയരകകക മനഷയകലതത കനന ഭയപപടതതയ സഹര തണഡവമടക ഇങങനയകക സഭവകകൻ എനത ശകതയണ ഇതന പനനലളളത ജയതഷൻ പറയനന വയഴവ ശനയ ചവവയ രശയൽ എതതയൽ മനഷയകലതതന നശവ മരണ ഭയവ എനന ഗരഹങങൾ തടങങ അതട പരശന മഹമര തനയ ഒഴഞഞ അവസന അലലങകൽ മസതതട പർണമയ പരഹരകകപപട ഗരഹ സയഗതതൽ ഉണടവണടനന നശതതന കരണകകരനവൻ വധപല പരകതയൽ സഷടകകപപടടതലല വറസനയ everi dog have day പറഞഞതപല വറസനറ ദനങങൾ കഴഞഞ മററര കരയ അറയണടതണട യഥർതഥ ഈശവരവശവസകൾ എലല ദവതതനറ കരങങളൽ സരകഷതരയരനന ശഷകകനനവർകക ജവതതതൽ വശവസതതനറ പരസകത പറഞഞ മനസസലകക തരകയ ചയത സതയമലല,Fake
