ID,News,Label
FAKE_MAL_TR_0015,"""അയ്യപ്പ വിശ്വാസികളുടെ വോട്ട് സി.പി.എമ്മിന് വേണ്ട. കമ്മ്യൂണിസ്റ്റ് പാർട്ടി തരംതാണിട്ടില്ല, "" മുഖ്യമന്ത്രി പിണറായി വിജയൻ പറഞ്ഞു",FALSE     
FAKE_MAL_TR_0016,ഏതൊരു മലയാളിയേയും പോലെ പിണറായി സർക്കാരിന്റെ തുടർഭരണത്തിനായി ആഗ്രഹിക്കുന്നെന്ന് ഫഹദ് ഫാസിൽ,FALSE     
FAKE_MAL_TR_0017,"മുഖ്യമന്ത്രി പിണറായി വിജയന്‍ ധര്‍മടം മണ്ഡലത്തിലേക്ക് മത്സരിക്കാന്‍ നല്‍കിയ സത്യവാങ്മൂലത്തില്‍, തന്റെ വീടിന്റെ വിപണിവില 8.7ലക്ഷം രൂപയാണെന്ന് പറഞ്ഞിരിക്കുന്നു",FALSE     
FAKE_MAL_TR_0018,1977ലെ തിരഞ്ഞെടുപ്പ് സമയത്ത് ബിജെപി പിന്തുണയോടെ എൽ ഡി എഫ് സ്ഥാനാർത്ഥിയായി പിണറായി വിജയൻ മത്സരിച്ചുയെന്ന് തെളിയിക്കുന്ന പോസ്റ്റർ പുറത്ത്.,FALSE     
FAKE_MAL_TR_0019,മെല്‍ബണില്‍ പിണറായിക്ക് ആദരമായി കൂറ്റന്‍ ബോർഡ്; ഫോട്ടോഷോപ്പോ അതോ...സത്യം പുറത്ത്,HALF TRUE
FAKE_MAL_TR_0020,മുഖ്യമന്ത്രി പിണറായി വിജയനെതിരെ വിഎസ് അച്യുതാനന്ദൻ തരംതാണ പരാമർശം നടത്തി,FALSE     
FAKE_MAL_TR_0021,മുഖ്യമന്ത്രി പിണറായി വിജയനെ പി ശ്രീരാമകൃഷ്ണന്‍ വിമര്‍ശിക്കുന്നത്,FALSE     
FAKE_MAL_TR_0022,തിരഞ്ഞെടുപ്പ് പ്രചാരണത്തിനിടെ മുഖ്യമന്ത്രി പിണറായി വിജയനെ പൊതുവേദിയിൽവെച്ചു കമ്മ്യൂണിസ്റ്റ്‌ പ്രവർത്തകൻ ആക്രമിച്ചതിന്റെ വീഡിയോ പുറത്ത്.,FALSE     
FAKE_MAL_TR_0023,"മുഖ്യമന്ത്രി പിണറായി വിജയന്‍ ധര്‍മടം മണ്ഡലത്തിലേക്ക് മത്സരിക്കാന്‍ നല്‍കിയ സത്യവാങ്മൂലത്തില്‍, തന്റെ വീടിന്റെ വിപണിവില 8.7ലക്ഷം രൂപയാണെന്ന് പറഞ്ഞിരിക്കുന്നു.",FALSE     
FAKE_MAL_TR_0024,സ്വപ്ന പിണറായി യുടെ മകളുടെ കല്യാണത്തിന് പങ്കെടുത്ത ഫോട്ടോ പുറത്ത്,FALSE     
FAKE_MAL_TR_0025,"പിണറായി അഭിനന്ദിച്ചു, ബമ്പര്‍ അടിച്ച ലോട്ടറി പായലിന് നഷ്ടമായി'; വാര്‍ത്ത ഏഷ്യാനെറ്റ് ന്യൂസിന്‍റെയല്ല",FALSE     
FAKE_MAL_TR_0026,പിണറായി വിജയന്‍ വൃക്ഷതൈ നടാന്‍ ബൂട്ടും ഗ്ലൌവ്സും ഇട്ടു പോകുന്നതിന്‍റെ ചിത്രം.,FALSE     
FAKE_MAL_TR_0027,പുതുപ്പള്ളിയിൽ നടന്ന വികസനത്തെ പറ്റിയുള്ള ചോദ്യത്തിന് ചാണ്ടി ഉമ്മൻ മറുപടി പറഞ്ഞില്ല,FALSE     
FAKE_MAL_TR_0028,പുതുപ്പള്ളിയിലെ വികസനത്തേക്കുറിച്ച് തുറന്ന സംവാദത്തിന് തയ്യാറുണ്ടോ എന്ന ചോദ്യത്തിന് മറുപടി പറയാതെ ചാണ്ടി ഉമ്മൻ.,FALSE     
FAKE_MAL_TR_0029,മുന്‍ കോണ്‍ഗ്രസ് സര്‍ക്കാര്‍ ഒന്നര വര്‍ഷത്തെ പെന്‍ഷന്‍ കുടിശിക വരുത്തിയിരുന്നു.,HALF TRUE
FAKE_MAL_TR_0030,സ്വർണക്കടത്തിൽ അറസ്റ്റിലായ പ്രതി സരിത്തിനൊപ്പം മുൻ മുഖ്യമന്ത്രി ഉമ്മൻചാണ്ടി,FALSE     
FAKE_MAL_TR_0031,പൊതുമരാമത്ത് വകുപ്പ് കോഴിക്കോട് നിര്‍മിച്ച റോഡ്.,FALSE     
FAKE_MAL_TR_0032,കോഴിക്കോട് തളി ശിവക്ഷേത്രത്തിൽ ദർശനം പൊലീസ് കാവലിൽ,FALSE     
FAKE_MAL_TR_0033,കോഴിക്കോട് തളി ശിവക്ഷേത്രം നിൽക്കുന്ന പ്രദേശം മർക്കസ് ദുവ എന്ന് പുനർനാമകരണം ചെയ്തു,FALSE     
FAKE_MAL_TR_0034,കോഴിക്കോട് ചിന്തന്‍ ശിബിരത്തില്‍ പങ്കെടുക്കാത്തതുമായി ബന്ധപ്പെട്ട മാധ്യമങ്ങളുടെ ചോദ്യത്തിന് രോഷാകുലനായി പ്രതികരിക്കുന്ന മുല്ലപ്പള്ളി രാമചന്ദ്രന്‍.,FALSE     
FAKE_MAL_TR_0035,കോഴിക്കോട്ട് നടന്ന k rail വിശദീകരണ യോഗത്തില്‍ ആരും പങ്കെടുത്തില്ല,FALSE     
FAKE_MAL_TR_0036,കോഴിക്കോട് റെയില്‍വെ സ്‌റ്റേഷനില്‍ നിന്ന് 650 കിലോ പഴകിയ കോഴിയിറച്ചി പിടിച്ചുകോഴിക്കോട് റെയില്‍വെ സ്‌റ്റേഷനില്‍ നിന്ന് 650 കിലോ പഴകിയ കോഴിയിറച്ചി പിടിച്ചു,HALF TRUE
FAKE_MAL_TR_0037,കോഴിക്കോട്ട് നടന്ന k rail വിശദീകരണ യോഗത്തിലെ ഒഴിഞ്ഞ കസേരകൾ.,FALSE     
FAKE_MAL_TR_0038,1970കളിൽ കോഴിക്കോട് ഫൂട്ബോൾ കളി കാണാൻ വന്ന സ്ത്രീകളുടെ ഫോട്ടോ.,FALSE     
FAKE_MAL_TR_0039,വഖഫ് സംരക്ഷണത്തിനായുള്ള മുസ്ലീം ലീഗ് സമ്മേളനം കോഴിക്കോട് ബീച്ചില്‍ നടന്നതിനു തൊട്ടടുത്ത ദിവസം ബെവ്‌കോ പുറത്തുവിട്ട കണക്കില്‍ കോഴിക്കോട് ജില്ലയില്‍ റെക്കോഡ് മദ്യ വില്‍പന.,FALSE     
FAKE_MAL_TR_0040,ഡിസംബർ 9നു കോഴിക്കോട് റെക്കോഡ് മദ്യവില്‍പന.,FALSE     
FAKE_MAL_TR_0041,ഐ.എ.എസ് ഇന്‍റര്‍വ്യൂവില്‍ കോഴിക്കോട് സബ് കളക്റ്റര്‍ ശ്രീധന്യ സുരേഷ് നേരിട്ട ചോദ്യങ്ങളെയും നല്‍കിയ ഉത്തരങ്ങളെയും കുറിച്ചുള്ള ലേഖനം,FALSE     
FAKE_MAL_TR_0042,കോഴിക്കോട് സിറ്റി ട്രാഫിക് പോലീസിന്‍റെ സന്ദേശം,FALSE     
FAKE_MAL_TR_0043,പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിയെ കാണാൻ കൊച്ചിയിൽ എത്തിയ ജനം.,FALSE     
FAKE_MAL_TR_0044,കൊച്ചി ലുലുമാൾ പിവിആർ ഫിലിം സിറ്റിയിൽ പുഴ മുതൽ പുഴ വരെ കാണാനുള്ള ജനത്തിരക്ക്,FALSE     
FAKE_MAL_TR_0045,കൊച്ചി ലുലുമാള്‍ പിവിആര്‍ ഫിലിം സിറ്റിയില്‍ പുഴ മുതല്‍ പുഴ വരെ കാണാനെത്തിയവരുടെ തിരക്ക്.,FALSE     
FAKE_MAL_TR_0046,ഹരിദ്വാറിലെ പെന്റഗണ്‍ മാളിൽ പഠാന്‍ സിനിമ കാണാന്‍ എത്തിയവരുടെ തിരക്ക്,FALSE     
FAKE_MAL_TR_0047,വ്യവസായ മന്ത്രി പി രാജീവ് കൊച്ചി മെട്രോയ്ക്ക് എതിരെ സമരം ചെയ്തു,FALSE     
FAKE_MAL_TR_0048,കൊച്ചിയിലെ വെള്ളപ്പൊക്കത്തില്‍ നിന്നുള്ള ചിത്രം.,FALSE     
FAKE_MAL_TR_0049,പന്നി ഇറച്ചി കൈവശം വെച്ചതിന് കേരളത്തിലെ മലപ്പുറത്ത് ബിഹാറിൽ നിന്നുള്ള അതിഥി തൊഴിലാളിയെ കൊലപ്പെടുത്തി.,FALSE     
FAKE_MAL_TR_0050,ബംഗാളിലെ സിപിഎം നേതാവ് മലപ്പുറത്ത് ഹോട്ടലില്‍ ജീവനക്കാരനായി പണിയെടുത്ത് തുടങ്ങി,FALSE     
FAKE_MAL_TR_0051,പെരുന്നാൾ ദിവസം മലപ്പുറത്ത്‌ നടന്ന ഒരു സദാചാര ഗുണ്ടായിസത്തിന്റെ വീഡിയോ.,FALSE     
FAKE_MAL_TR_0052,ഗുരുവായൂർ സന്ദർശിച്ചപ്പോൾ പ്രളയബാധിത പ്രദേശങ്ങളും സന്ദർശിക്കാമായിരുന്നു'; മോദിയെ വിമർശിച്ച് രാഹുൽ,FALSE     
FAKE_MAL_TR_0053,ഗുരുവായൂർ ക്ഷേത്രത്തിൽ പുതുതായി ജനിച്ച ആനകുട്ടിയുടെ വീഡിയോ.,FALSE     
FAKE_MAL_TR_0054,നിലയ്ക്കല്‍-പമ്പ ബസ് നിരക്ക് 100 രൂപയാക്കി കെഎസ്ആര്‍ടിസി. 30 കിലോമീറ്റര്‍ ദൂരമുള്ള തൃശൂര്‍-ഗുരുവായൂര്‍ റൂട്ടില്‍ 25 രൂപ ഈടാക്കുമ്പോഴാണ് വെറും 18 കിലോമീറ്ററിനാണ് 100 രൂപ ഈടാക്കുന്നത്.,FALSE     
FAKE_MAL_TR_0055,ഓഗസ്റ്റ് 5 മുതൽ വാട്സ് ആപ്പ് സന്ദേശങ്ങൾ കേരളത്തിൽ നിരീക്ഷപ്പെടും.,FALSE     
FAKE_MAL_TR_0056,വാച്ച് യുവർ നെയ്ബർ എന്ന പദ്ധതി കേരള പോലീസ് ആവിഷ്കരിച്ചു,FALSE     
FAKE_MAL_TR_0057,അയൽക്കാരെ നീരിക്ഷിക്കാനുള്ള കേരള പോലീസ് പദ്ധതി.,FALSE     
FAKE_MAL_TR_0058,വാച്ച് യുവര്‍ നെയ്ബര്‍ എന്ന പേരില്‍ കേരള പൊലീസ് പദ്ധതി നടപ്പാക്കുന്നു.,FALSE     
FAKE_MAL_TR_0059,കേരളത്തില്‍ കഞ്ചാവിന്‍റെയും എം‍ഡിഎംഎ പോലെയുള്ള കെമിക്കല്‍ ലഹരിമരുന്നുകളുടെയും ഉപയോഗവും വില്‍പ്പനയും വ്യാപകമായി വര്‍ദ്ധിച്ചു -കേരള പോലീസ് പുറത്തിറക്കിയ മുന്നറിയിപ്പ്,FALSE     
FAKE_MAL_TR_0060,കുട്ടികളിലെ ലഹരി ഉപയോഗം രക്ഷിതാക്കള്‍ക്ക് കേരള പൊലീസിന്റെ ജാഗ്രതാ നിര്‍ദ്ദേശം.,FALSE     
FAKE_MAL_TR_0061,ആലപ്പുഴയിൽ പോപ്പുലർ ഫ്രണ്ട് സംഘടിപ്പിച്ച പരിപാടിയിൽ വിവാദമായ മുദ്രാവാക്യമുയർത്തിയ കുട്ടിയുടെ പിതാവിനെ കസ്റ്റഡിയിൽ എടുക്കുന്ന കേരള പോലീസ് ഉദ്യോഗസ്ഥരുടെ ചിത്രം.,FALSE     
FAKE_MAL_TR_0062,യൂണിഫോമിനൊപ്പം താടി നീട്ടി വളര്‍ത്തിയ കേരള പൊലീസ് ഉദ്യോഗസ്ഥന്‍.,FALSE     
FAKE_MAL_TR_0063,പാലക്കാട് ജില്ലയിൽ ടൂവീലറിൽ സ്ത്രീകളും കുട്ടികളും ഒഴികെയുള്ളവരുടെ പിൻസീറ്റ് യാത്ര നിരോധിച്ചിരിക്കുന്നു - കേരള പോലീസ്,FALSE     
FAKE_MAL_TR_0064,കേരള പൊലീസിലേക്ക് മുസ്ലീങ്ങളെ മാത്രം ഉള്‍പ്പെടുത്തി പ്രത്യേക നിയമനം നടത്തുന്നു.,FALSE     
FAKE_MAL_TR_0065,ക്രിസ്തുമസ് ആഘോഷവുമായി ബന്ധപ്പെട്ട് കേരളാ പോലീസ് നിയന്ത്രണങ്ങൾ ഏർപ്പെടുത്തി.,FALSE     
FAKE_MAL_TR_0066,കേരളാ പോലീസിലെ കോൺസ്റ്റബിൾ ഒഴിവുകളിലേയ്ക്ക് റിക്രൂട്ട്മെന്റ് നടത്തുന്നു. സെപ്റ്റംബർ 30 വരെ അപേക്ഷിക്കാം.,FALSE     
FAKE_MAL_TR_0067,ബ്ലഡ് ടെസ്റ്റ് ചെയ്യാനെന്ന പേരില്‍ എച്ച്‌ഐവി പരത്തുന്ന സംഘം ഇറങ്ങിയിട്ടുണ്ടെന്ന് കേരള പൊലീസിന്റെ മുന്നറിയിപ്പ്,FALSE     
FAKE_MAL_TR_0068,ശബരിമലയില്‍ അപ്പം-അരവണ നിര്‍മ്മാണത്തിന് ഭക്തര്‍ നെയ്‌ത്തേങ്ങയില്‍ കൊണ്ടുവരുന്ന നെയ്യാണ് ഉപയോഗിക്കുന്നത്.,FALSE     
FAKE_MAL_TR_0069,ശബരിമല സ്‌പെഷ്യല്‍ ട്രെയ്‌നുകള്‍ക്ക് അധിക നിരക്ക് ഈടാക്കി ഇന്ത്യന്‍ റെയില്‍വെ.,HALF TRUE
FAKE_MAL_TR_0070,കെ‌എസ്‌ആര്‍‌ടി‌സി ശബരിമല സര്‍വീസ്- ചെങ്ങന്നൂര്‍-പമ്പ യാത്രയ്ക്കും മടക്ക യാത്രയ്ക്കും രണ്ടു ടിക്കറ്റ് നിരക്ക്,FALSE     
FAKE_MAL_TR_0071,ശബരിമലയിലേക്ക് സര്‍വീസ് നടത്തുന്ന കെഎസ്ആര്‍ടിസി ബസുകളില്‍ അടിസ്ഥാനമില്ലാതെ വ്യത്യസ്ഥ നിരക്കുകള്‍ ഈടാക്കുന്നു.,FALSE     
FAKE_MAL_TR_0072,ശബരിമല-പമ്പ റോഡിൽ പശുവിനെ പുലി പിടിക്കുന്നു.,FALSE     
FAKE_MAL_TR_0073,തെലുങ്ക് നടന്‍ ചിരഞ്ജീവിക്കൊപ്പം യുവതി ശബരിമല സന്ദര്‍ശനം നടത്തുന്ന ചിത്രങ്ങള്‍ പുറത്ത്.,FALSE     
FAKE_MAL_TR_0074,ശബരിമലയില്‍ വീണ്ടും ആചാര ലംഘനം,FALSE     
FAKE_MAL_TR_0075,കേരളത്തിലെ ശബരിമല സന്നിധാനത്തിൽ ലഭിക്കുന്ന പ്രധാന മധുര പ്രസാദമാണ് അരവണ പായസം. പായസം ഉണ്ടാക്കുന്നതിനുള്ള ടെണ്ടർ ഒരു മുസ്ലീമിനാണ് നൽകിയത്. അയാൾ പ്രസാദം ഹലാൽ ആണെന്ന് സാക്ഷ്യപ്പെടുത്തുന്നു. എന്തിനാണ് പ്രസാദം,FALSE     
FAKE_MAL_TR_0076,409 വര്‍ഷം പഴക്കമുള്ള ശബരിമല ക്ഷേത്രത്തിന്റെ ചിത്രം. ഈ ചിത്രമെടുത്ത ശേഷമാണ് ബ്രിട്ടീഷ് ഈസ്റ്റ് ഇന്ത്യാ കമ്പനി അവരുടെ നാണയത്തില്‍ അയ്യപ്പന്റെ ചിത്രം ഉള്‍പ്പെടുത്തിയത്.,FALSE     
FAKE_MAL_TR_0077,പ്രിയ വര്‍ഗീസിന്‍റെ കണ്ണൂര്‍ സര്‍വകലാശാലയിലെ നിയമനം തടഞ്ഞ കോടതി വിധിക്കെതിരെ പ്രിയ വര്‍ഗീസും കുടുംബവും പ്രതിഷേധിക്കുന്ന വീഡിയോ,FALSE     
FAKE_MAL_TR_0078,കെപിസിസി പ്രസിഡന്റ് കെ.സുധാകരനെതിരെ കടുത്ത വിമര്‍ശനവുമായി കണ്ണൂര്‍ ഡിസിസി ജനറല്‍ സെക്രട്ടറി പ്രദീപ് വട്ടിപ്രം.,FALSE     
FAKE_MAL_TR_0079,കണ്ണൂർ എയർപോർട്ടിനായി ഭൂമി ഏറ്റെടുക്കുന്നതിനെതിരെ യുഡിഎഫ് സർക്കാരിൻറെ കാലത്ത് മട്ടന്നൂർ എംഎൽഎ പി ജയരാജന്റെ ഉപവാസ വേദിയിൽ സിപിഎം സംസ്ഥാന സെക്രട്ടറി കോടിയേരി ബാലകൃഷ്ണൻ നിൽക്കുന്ന ചിത്രം.,FALSE     
FAKE_MAL_TR_0080,കണ്ണൂർ എയർപോർട്ടിൽ വെച്ച് ഉണ്ടായ സംഭവമാണ് ഇത്. പോക്കറ്റിനുള്ളിൽ പവർ ബാങ്ക് വെച്ച് മൊബൈൽ ചാർജ് ചെയ്തതാണ്.,FALSE     
FAKE_MAL_TR_0081,അമേരിക്കയില്‍ നടന്ന റിയാലിറ്റിഷോയില്‍ വിജയികളായ കണ്ണൂര്‍ പൊതുവാച്ചേരിയില്‍ നിന്നുള്ള ടീം,FALSE     
FAKE_MAL_TR_0082,പാലക്കാട് ഇരുചക്രവാഹനങ്ങളിൽ പുരുഷന്മാരുടെ പിൻസീറ്റ് യാത്ര കേരളാ പോലീസ് പൂർണ്ണമായും നിരോധിച്ചു.,HALF TRUE
FAKE_MAL_TR_0083,മാസ്‌ക്കിനെ കുറിച്ചുള്ള ബോധവല്‍ക്കരണം പുലിവാലായി; പ്രതികള്‍ കേരള പൊലീസോ; വൈറല്‍ ചിത്രവും സത്യവും,FALSE     
FAKE_MAL_TR_0084,കേരളത്തിലെ റെയില്‍വെ സ്‌റ്റേഷനിലേക്ക് വന്നിറങ്ങുന്ന ഇതരസംസ്ഥാന തൊഴിലാളികള്‍,HALF TRUE
FAKE_MAL_TR_0085,മാസപ്പടി' വിവാദത്തില്‍ വാര്‍ത്ത നല്‍കരുതെന്ന് കേരള പത്രപ്രവര്‍ത്തക യൂണിയന്റെ നിര്‍ദ്ദേശം.,FALSE     
FAKE_MAL_TR_0086,ഏക സിവില്‍ കോഡിനെതിരെ പ്രമേയം പാസാക്കുന്ന ആദ്യ സംസ്ഥാനമാണ് കേരളം.,HALF TRUE
FAKE_MAL_TR_0087,റോഡ് വഴിയുള്ള ബാംഗ്ലൂർ-കേരള രാത്രി യാത്ര അപകടകരമാണ്.ബംഗളൂരു-മൈസൂർ എക്‌സ്‌പ്രസ്‌വേയിൽ കള്ളന്മാരും കൊള്ളക്കാരും വിഹരിക്കുന്നു.,FALSE     
FAKE_MAL_TR_0088, വസ്തുതാപരിശോധന: ഇന്ത്യൻ പതാകയെ അനാദരിക്കുന്ന പാക്കിസ്ഥാനിൽ നിന്നുള്ള പഴയ വീഡിയോ തെറ്റായ അവകാശവാദത്തോടെ വൈറലാകുന്നു,FALSE     
FAKE_MAL_TR_0089,കേരളത്തിലെ റോഡിന്റെ ശോച്യാവസ്ഥ.,FALSE     
FAKE_MAL_TR_0090,കേരളത്തിലെ റോഡിലെ കുഴിയിൽ കാർ താഴ്ന്നതിൻ്റെ ചിത്രം,FALSE     
FAKE_MAL_TR_0091,കേരളത്തിലെ റോഡില്‍ അടുത്തിടെ രൂപപ്പെട്ട വലിയ കുഴി.,HALF TRUE
FAKE_MAL_TR_0092,"മദ്യപാനി വെള്ളക്കെട്ടുള്ള റോഡ് മുറിച്ചു കടക്കവെ സ്ലാബില്ലാത്ത ഓടയില്‍ വീഴുന്ന ദൃശ്യം, കേരളത്തില്‍ നിന്ന്.",FALSE     
FAKE_MAL_TR_0093,ജനിച്ചയുടനെ കരയാതിരുന്ന കുഞ്ഞിൻ്റെ ജീവൻ രക്ഷിക്കുന്ന വീഡിയോ കേരളത്തിൽ നിന്നുള്ളത്,FALSE     
FAKE_MAL_TR_0094,കേരളത്തില്‍ നിന്ന് കാണാതായ ഈ കുട്ടിയെ തമിഴ്‌നാട്ടില്‍ കണ്ടെത്തി.,HALF TRUE
FAKE_MAL_TR_0095,ഫോട്ടോയിൽ ഉള്ളത് കേരളത്തിൽ നിന്നും തട്ടി കൊണ്ട് പോയ കുട്ടി.,FALSE     
FAKE_MAL_TR_0096,പൂഞ്ഞാറിലെ പഞ്ചായത്ത് ഉപതിരഞ്ഞെടുപ്പ് പിസി ജോർജ്ജിന്റെ പാർട്ടിയുടെ പരാജയത്തിൽ മനം നൊന്ത് പാർവതി ഷോൺ കേരളത്തിൽ ജീവിക്കാൻ കൊള്ളില്ലെന്ന് പറയുന്നു.,FALSE     
FAKE_MAL_TR_0097, ശ്രീലങ്കയിൽനിന്നുള്ള പഴ വീഡിയോ കേരളത്തിൽനിന്നുള്ളതെന്നപേരിൽ തെറ്റിദ്ധാരണാജനകമായ അവകാശവാദവുമായി വൈറലാകുന്നു,FALSE     
FAKE_MAL_TR_0098,ദ കേരളാ സ്റ്റോറി സിനിമയുടെ റിലീസിന് ശേഷം മാവേലിക്കരയിൽ നടന്ന ദുർഗാവാഹിനി പഥസഞ്ചലൻ,FALSE     
FAKE_MAL_TR_0099,ആർഎസ്എസ് പ്രവർത്തകയെ കേരളത്തിൽ മുസ്ലീങ്ങൾ കൊലപ്പെടുത്തുന്നു.,FALSE     
FAKE_MAL_TR_0100,കേരള സ്‌റ്റോറിയിലെ നായിക ദേവൊലീന ഭട്ടാചാര്‍ജി മുസ്ലീം യുവാവിനൊപ്പം ഒളിച്ചോടി.,FALSE     
FAKE_MAL_TR_0101,കേരളത്തിൽ ആർഎസ്എസ് പ്രവർത്തകയെ മുസ്ലിം മതവിശ്വാസികൾ വെടിവെച്ചു കൊല്ലുന്നതിൻ്റെ ദൃശ്യങ്ങൾ,FALSE     
FAKE_MAL_TR_0102,ഐസിസ് എന്നെഴുതിയ ടീഷർട്ട് ധരിച്ച് കേരളത്തിലെ മുസ്ലിം യുവാക്കൾ,FALSE     
FAKE_MAL_TR_0103,ലേഡീസ് ഹോസ്റ്റലിനു മുന്നില്‍ നഗ്നതാ പ്രദര്‍ശനം നടത്തിയ കേരള കോണ്‍ഗ്രസ് നേതാവ് എ.എച്ച് ഹാഫിസിനെ പൊലീസ് അറസ്റ്റ് ചെയ്തു.,FALSE     
FAKE_MAL_TR_0104,കേരളത്തിൽ വച്ചു വന്ദേഭാരതിന് നേരെ കല്ലേറുണ്ടായപ്പോൾ കേട് പറ്റിയ ജനാലയുടെ ചിത്രം,HALF TRUE
FAKE_MAL_TR_0105,കേരള ഓട്ടൊമൊബൈല്‍ ലിമിറ്റഡിന്റെ കീഴിലുള്ള ഇ-ഓട്ടോകള്‍ നിര്‍മ്മാണം അവസാനിപ്പിച്ചു.,FALSE     
FAKE_MAL_TR_0106,കേരള സർവകലാശാലയിൽ ആദ്യമായി എബിവിപിക്ക് ജയം .,FALSE     
FAKE_MAL_TR_0107,പ്ലാസ്റ്റിക് ക്യാരി ബാഗുകളുടെ നിരോധനം ഹൈക്കോടതി റദ്ദാക്കി,FALSE     
FAKE_MAL_TR_0108,പോർച്ചുഗൽ പതാക കീറിയതിന് കേരളത്തിലെ റൊണാൾഡോ ആരാധകർ ബിജെപി പ്രവർത്തകനെ മർദ്ദിച്ചു,FALSE     
FAKE_MAL_TR_0109,കേരളത്തിലെ 21 മന്ത്രിമാര്‍ക്കും കൂടി 1110 പേഴ്‌സണല്‍ സ്റ്റാഫുകളെ നിയമിച്ചിട്ടുണ്ട്.,HALF TRUE
