Id,text,Predicted_Label
Fake_118,നതവനറ അപപ തനന ജവകകനനവർ ബരയണ ആനന പറഞഞ നയയകരകകനന പനനയണത,Fake
Fake_119,nthonnad ithu,Fake
Fake_120,പണട അറയവനന കരയമണ എനന ലകതതന എതരണഉദഹരണ ടബററ ടയമൻ സകവയർ ഹങകങ അറനചൽ പരദശ അങങന എതരയ,Fake
Fake_121,evatakalkonum nanam ele enth tengayan eth,original
Fake_122,adutha masam ent thiruvathira aanukalyanam alla kettooparti layanam aanuu,original
Fake_123,കറണ മറയടടലല മറയത ലകക downum ജനങങളട പടയ മതരമണ,original
Fake_124,nhangal mamma channeluk kanunnath nirthyjai sajan sir,Fake
Fake_125,american tramppp nntta purrakaa pooyia mooddi rasshiya forget,Fake
Fake_126,കരണ ഭതതത തറനന വടട നമപതരകക ആയര നമസകര ബറടചച നകകമപഴ കമഡ,Fake
Fake_127,thiruvathira parti india,original
Fake_128,വശതത വലപയതര മറവശതത തരവതര കളചച കവഡ പരതതയളള രകതസകഷയ കടടയ ആഹലദ നറഞഞ ആഘഷവ കളള വവരദഷകൾ ഇവർകകതര രജസററർ ചയത ശകഷകകക,original
Fake_129,ചനസ ഫണലട കണനന ലകകടകകക,Fake
Fake_130,നങങള വറസന കണടടടണട,Fake
Fake_131,makaravilakkum kaanikkan,original
Fake_132,വറനയ റസർചച ചയയൻ വചചരനന വറസ കവടട പയതണനന സമനയ ബദധ ഉളള എലലവർകക അറയ പരകതയൽ കണനന വറസന mutat മററ വരതത ആയധതതൽ ഉപയഗകകൻ ശരമതതൽ പരകഷണ ചനയ ഒററ പടതതക മതരമ ഇതന പരതവധയയ,Fake
Fake_133,old stori bring someth new,Fake
Fake_134,attuk pongala anuvadhikkanam ithinekkaaalum surakshidhamaaanu,original
Fake_135,എലല പണറയ,original
Fake_136,പളയ,original
Fake_137,ethu എഴതയ തരമന പറഞഞ paatu ആരയ udeshichillennu,original
Fake_138,until now there evid that viru genet creat will do such video qnow channel,Fake
Fake_139,super,original
Fake_140,sathaythil ethokk avarud plan annu,Fake
Fake_141,chinay illaathaakkanam,Fake
Fake_142,തങകൾ പറഞഞതണ സതയ ഇനയങകല അഞചമണ തളള നർതതയലല എങകൽ കരളതതല സമഹക അനതരകഷ കലഷത,Fake
Fake_143,miiyran maru motham kulam thonditt poku vote cheytha jayipichavan oke anubhavik,original
Fake_144,നടടലകക പവനന പരവസകൾ ശരദധകകക കവഡ പടകകതരകകൻ,original
Fake_145,mayb thi secret biolog war between america and europ anoth view point the use dictatorship defect democraci,Fake
Fake_146,നറകൾകക മതത അവരട കൽകഴൽ വരണ എനനണ,Fake
Fake_147,koottam koodaruth ennu parannjaa ningalkk mansssillaavilley,original
Fake_148,സമയതത പരപട അവതരപപചച മഴവന ആളകളയ പബലകൽ വചരണ ചയയണശകഷകകണ കമപതത ഇരകകനന തമപരന ആയല,Fake
Fake_149,pode,original
Fake_150,nalla vartha good innu kalathumuth whatsappil karangunna oru item eduthu varthayakki bear mind kerala peopl much ahe have some true investig jounalisam,Fake
Fake_151,parti സമമളന എലല കഴയമപൾ ലകകഡൺ und,original
Fake_152,ellaarum vimarshichitt pinaraayi daivathint kopam vaangi koottanda ath mathi covid parakkaan,original
Fake_153,alreadi some chines doctor report septemb corona viru and pneumonia also news later they delet indian top channel wion these polit agenda,Fake
Fake_154,അവതരകൻ,original
Fake_155,realli there huge deal foul play thi seem biolog weapon destroy the world order,Fake
Fake_156,ഉതതര,Fake
Fake_157,ആരവടകണടവരൻചരൽ കഷയവ കനതര അരചചത,original
Fake_158,ബൽഗററസ depopul അജണടയട ഭഗമണ വറസ,Fake
Fake_159,അലല ഇതനറ മൻപ പറനനത കറണ വറസ വനന പടടളകകര കനന എനന നർതത കറയ,Fake
Fake_160,ഉളപപ,original
Fake_161,രജയ തകർകകനളള ആസതരത ശരമമണ ജഹദ സമമളനതതന പനനലളളത,Fake
Fake_162,ചനയല വഹൻ സവതനതര രജയമണറഷയ അറഞഞ സമയ മതൽ അതർതത അടചച രജയമണപനന ചനയൽ എവട എനതകക എനന ചനകക അറയ ഒരകകൽ പറയമററരകകൽ എലല വവരവ മറനടന ലഭയമവനനഹഹഹ,Fake
Fake_163,എതരയ പടടനന മറകടടടട,Fake
Fake_164,ചനയകക കടകകൻ വറസ ഒനന ഇലല ഇലലങകൽ മസസൽ കടകക അവനറയകക നഞച കടകകണപരനറകൾ ഇവനമര ഭപടതതൽ നനന മററണട സമയ കഴഞഞ,Fake
Fake_165,എനതര കഷടണ,original
Fake_166,ramzan adukkumbazhekkum lock aakkum athallea oru sugho,Fake
Fake_167,പരപട,original
Fake_168,എനനടട പരവസകൾകക നർബനധത കവറനറൻ ശബഷ,original
Fake_169,rip തരവതര,original
Fake_170,ആസനതതൽ മളചചൽ തണല കടട,original
Fake_171,pravasikl onum oru cash polum sahayikaruth evanmar,Fake
Fake_172,കറണപടപടട രജജങങൾ എലലകടഒരമചച ചനയ പകകകക,Fake
Fake_173,അവട നമമട ഇൻഡയകകർ കറവയരകക,Fake
Fake_174,ഇവനമരടയകക തലയൽ പരപപവടയണവഡഢകൾ ഉളപപ വണട ശരകഷണ ജയനത ആഘഷകകനന തരവതര പർടടകഷട ശർദകകൻ വരനന,original
Fake_175,വയലർ എഴത ഇതപലതത വരകൾ,original
Fake_176,saadhikkatt enn aashamsikkunnu,original
Fake_177,kashtam ithupolulla komaali sarkar swapnanglil maathram,original
Fake_178,india nanam kettu poi,original
Fake_179,കതയമയ അകല പലചചണലല കളകകനനപനന കരയ വടടപയ പടടൽ ചറയ covid ബധവതകരണവ കഴഞഞ ദവസ മരണപപടട സഗവന ആദരഞജല വതത കപയ സററപ ആകമയരനന,original
Fake_180,adupp niyamam,original
Fake_181,ent ummaku hart block vannu angigram cheyyendi,Fake
Fake_182,തടർ ഭരണതതന വടട ചയതതൽ ഞനപപൾ ലജജകകനന,original
Fake_183,covidok ഞങങട ഇരടട ചങകനറ മൻപൽ,original
Fake_184,quotപരശനquot എനന രജയ അലല കമമയണസ കടണ,Fake
Fake_185,സതയ പരവസകൾ ഞങങൾ ഇവട നനന ടസററ എടതത നഗററവ പനന നടടൽ വനന ആയല quarantin ഇതപല മസക ഒനന വകകത നടകകനനവർകക വണട നലല ആരഗയ മനതര തരമന,original
Fake_186,എതര കണടല ടരൾ മതയവലഅങങന ഉളളവർ ആരങകലമണട,original
Fake_187,prathikarikku prathishethikku nammud naadin rakshikku,original
Fake_188,evarku oru avasaram kodukuallad eppozhum ayurvedath thalliparayath,Fake
Fake_189,വലലവനറ മടചച വർതത കടകകനന പരപട എനന നർതത,Fake
Fake_190,ldf do stupid thing,original
Fake_191,nakikalaaya malayalik,original
Fake_192,സതര ലഗക സരവങങള അതൽ വവൽ ഉമനർ ബരമമ നരങങ എനനവ ഉപയഗചച നർമചചവയണ കറണ വറസ,Fake
Fake_193,കടടല കണടല ഉളപപലതത വർഗഗ,original
Fake_194,ഷജൻ സറനറ വകകകൾ പനനവടട,Fake
Fake_195,yandayalum america engana oru ade venum butcha edel podu janag badechu angana yanu iraq adu pola ulla natulum katti kuttiyadu,Fake
Fake_196,love cpim,original
Fake_197,china deserv nuclear attack from europ and usa,Fake
Fake_198,aaa vaacsinaaa innu aaaanirthamo aaaa arochakam aaaamraa naveen,Fake
Fake_199,corona iniyanu theevratha varan pokunnathudepopul agenda start ayiinnum saudhiyil cherupakar marichu veeeeenu,Fake
Fake_200,കറണ വനനത കണട വയവ അനതരകഷ ശദധമയ കടകകതരനനൽ,Fake
Fake_201,aru chathal entha cpm jayiknm,original
Fake_202,കൺസപറസ തയറസററകൾ അവർ ശഖരചച തളവകൾ പരകര ഉളള ഒനന പരത ഗററസ കറണ വരനനതന അഞച വർഷ മമപ ടകനകരററ ഗററസന പരവചകകൻ എങങന സധചച യതര മഡകകൽ പരശലനവ നടയടടലലതത ഇരതത സഎൻഎനന മററ ചർചച ചയയനനത എനത കണട ഗററസൻറ കണകകന ബലയൻറ വകസൻ തൽപരയ ആണവട വളവകനനത തയറ ലകരഗയ സഘടന മകകടട മനനണ ആണതന പനനൽ ബലയൺ ഡളറകൾ ഉണടകകൻ വറസന പററ ആദയമ പരവചകകകയ പനന സഷടകകകയ ചയയനന അതന ചനയ ഏൽപപചചത അതൻറ കരയങങൾ കഡനയററ ചയയൻ എപലയയ സവനതകകരന ടഡരസ ആഡന ഗബരയസസ എനന എതയപയൻ മനതയ നയമകകകയ ചയത സശയകരമയ രതയൽ ചനകകപപ നൽകകനനത തങങളട മതലള രകഷകകൻ വണട ഇകകരയ എനതണ ഇവട മണടതതത ഈയട വനന റപപർടടകളല ലഖനങങളല മതതശശ പതര ഇതലകകളള സചനകൾ നൽകയരനന,Fake
Fake_203,dislik അടചചവരട തനതമർ ചനകകർ,Fake
Fake_204,programm poottikkil ithuvar,original
Fake_205,സഭവകകൻ പകനനത കറണകരണ ലകതത കപപകതതയ ഷയർ മർകകററകൾ വലയ വലകടതത വങങശകതയളളവന ബദധകണട തറപററകകനന രജതനതര,Fake
Fake_206,china unnamittathu europ mathramo aarenkilum chinthichittundo india itra karuthod neridumennuindia kuudi easi aayi thakarkam ennu chinthichu kaanil,Fake
Fake_207,adipoli,original
Fake_208,വരകൾതററത പടയ സതര സഖകൾകക ഒരപട അഭവദയ,Fake
Fake_209,ഇവനമര വണട ജയപപചച വടടത നമമൾ കരളയർ ചയത തററ,original
Fake_210,ഇതകക കണമപൾ കതത വചച നധയണൻ ഫറസകക ഓർമ വരനന,original
Fake_211,നങങൾട പനനവടട,original
Fake_212,feel that thi epidem will there till june,Fake
Fake_213,ആയരകകചന വറസ അവട ഉളള ആൾകകരൽ തനന എതതചച അവരൽ നനന പലർകക പകര ചനയൽ മഡയ control ആയത കണട ഇങങന അസഖ പകരനനത അറയലല അതകണട അനതരഷടര യതരകക വലകകകൾ ഉണടവലല യതര വലക ഇലലതതതനൽ മററളള രജയങങളലകക for exampl india ആയരനന കറണ ആദയ വനനരനനത എങകൽ തരചച അറയൻ ആകതത ജനങങളൽ പകരനന എനന വർതതകൾ ഇനതയൻ നനനയ കടമപൾ ഇനതയയലകക വരനമട നടടൽ നപപ വനനപപൾ നമട വർതത കടതതരനന ഇലല അജഞത ബധചച കടബതതൽ ആൾകകർ മരചച ശകത ആകവൻ പണതത,Fake
Fake_214,ലകമനനൽ കണണര പരസരപരദശവമയ ചരങങയ,original
Fake_215,കമമയണസററ കമളകൾ,Fake
Fake_216,ith chikilsayella bakshanaman chikilsa sir parachath sheriyano enn avasaram koduthood corona oru virou aayirikkam baksh veetil irunnu nadan marunn cheith chikilsikkam anubavam aan,Fake
Fake_217,chirikaanum vayyakaryanum vayyaevid nokhiyalumagalam palikathathinupravasikalu kuthakaarankolllhammm,original
Fake_218,അവസര നൽക ഏതങകല ഉനനയകകമപഴകക ജയലൽ ഇടൻ നകകനനതന എനതനണ imo പറയനനതൽ വലല കരയവമണട എനനറയണട,Fake
Fake_219,ആദയ നങങളട ആൾകകര നനനകക കലസസ അവർകകകടട,Fake
Fake_220,nashicha vaccin edukandayirunnu kop,Fake
Fake_221,ithin okk pidich kinattil idanam,Fake
Fake_222,enthokk paranjalum pravasi quarantin irikanam,original
Fake_223,thi sure china attack all develop countri,Fake
Fake_224,എഡററ സപപർ,original
Fake_225,keralam vere rajyam ano pinarayi cheythato,original
Fake_226,ആരട പറയൻ ആരടതത സഹകകക അതതനന,original
Fake_227,cpm അടപപല,original
Fake_228,സധരണ ജനങങൾകക മതര ഇതകക ബധക,original
Fake_229,,original
Fake_230,നലല സഷയൽ distanc ആണലല,original
Fake_231,തകചച അനവസരതതൽ പരതഷധകകനന,original
Fake_232,എനനടട ചനയ നഞചററനനവർ മനഷയര,Fake
Fake_233,കണടൽ pine ജവനട ഉണടവലല,original
Fake_234,വവവൽ വനത എതര വവങങൾ മരചച വയനന ഷങങല നനകക മനഷയൻ ജവനറ മനസസൽ ആകക,Fake
Fake_235,china cheat the whole world should boycott and their product,Fake
Fake_236,നലല വർതത അതജവന ചരതര ആവർതതകകനന കറണ ശരരതതയലല എലലവരടയ മനസസനയണ അധക ബധചചരകകനനത അതന മധയമങങൾകക പങകണട,Fake
Fake_237,foolish act,original
Fake_238,വകസൻ വകസപപചചത ശരയയടടണ എനന സശയ വർഷങങൾ എടതത വകസപപകകണട മരനന പടടനനണ ശരയയത,Fake
Fake_239,കബലകക ജമഅതത എനതനന കനതരണടമണത മതപരനതൻമർ തണടകള ചകകകകകണട ബധയത സധരണകകരനറ നകതപപണ വണമലല സർകകർ ചലവൽ രപയട മരനന ഇവററകൾകക കടകകരത ഇസലമക രജയ സഷടകകൻ നടകകനന വറസകൾ,Fake
Fake_240,വലല മഗതതന പകഷകൾ ആണങകൽ എലലതതനയ ചടട കനനന മനഷയൻ ആയത കണടലല കലലതത വനനപപൾ ജവകള കനനലല ഇതനറ ഒകക ഇപപ മനഷയരൽ കണനന വറസ ചരകക പറഞഞൽ പടചചനറ പരകഷണ,Fake
Fake_241,sanki chanagam,original
Fake_242,തമസനറ മരണ ചടങങൽ ഇതനന കണടലലലല എലലവര വലയ പണയളൻമർ എലലവർകക ബധക cameraകക മനനൽ മസക മററനനത നങങള നർതതണ,original
Fake_243,gomuthrum chai naku modi koduthu vitirikum,Fake
Fake_244,idokki ellavarkkum ariyamenggilum idupolulla nalla karyagg parajhukodukku elladi vargeyada pulabbi manushyaray thammil thallikan nadakalla thaniku dayvattilikki vishwasamunddo saja oru vargeeyavadikkorikkum dayvattilinnum vishwasamuddagilla,original
Fake_245,ലകതതൽ ഏററവ കടതൽ കറണ രഗകൾ ഉളള രഷടരമയ ഇനതയ മറനന നമമൾ ഇപപൾ പകനനത ഗരതര അവസഥയലണ എലല രഷടരങങള കറണകകതര ഒരപട പരവർതതന നടതത കറണകക മനന ഘടട ഉണട തവണയയ വനനരകക ഭമയൽ ഉണടക,Fake
Fake_246,ഇനന പടകണട വനന,Fake
Fake_247,,original
Fake_248,ath velluvili sweekarikuga,Fake
Fake_249,ശരകക വകഭദ വനന തരവതര തനന,original
Fake_250,ഇനയ കരളതതല ജനങങൾ വപലവ പർടടയ ജയപപകക എനന കരയതതൽ എനകക സശയവ ഇലല ഇവട വദയഭയസ ഉളളവരണ എനനകക വളമപ എനനടട കണകകനനത,original
Fake_251,ldf,original
Fake_252,നണമലല,original
Fake_253,inhjethunna nishanth parennathunhjammakku badhakamalla ethonnumthirinjhina,original
Fake_254,സതയതതൽ തരവതര വളര ഇഷടപടട ആയരനന ഇപപൾ കരങങനറ കയല പമല,original
Fake_255,നങങൾകകനന പരകഷണതതന തയയറകതതത കതതക മരനന കമപനകകര സഹയകകൻ,Fake
Fake_256,thi like zombi land,Fake
Fake_257,bil blind china,Fake
Fake_258,chinayepanjikittukood,original
Fake_259,കരണ ഭതൻ കററകൾ ഉടൻ എതത,original
Fake_260,ഇനന പർടട ലകമങങ സഭചട കരണഭഥൻ പണറയ വജയൻ എനന സഖവ തനന പടചച റബബ poli,original
Fake_261,ലകസമധന ഉണട ഉണടവൻ അതന കഴയടട ഇതൽ നനന പഠചച,Fake
